instant,dteday,season,mnth,holiday,weekday,temp,cnt
562,15/07/2012,3,7,0,0,0.745833,6031
563,16/07/2012,3,7,0,1,0.763333,6830
564,17/07/2012,3,7,0,2,0.818333,6786
565,18/07/2012,3,7,0,3,0.793333,5713
566,19/07/2012,3,7,0,4,0.77,6591
567,20/07/2012,3,7,0,5,0.665833,5870
568,21/07/2012,3,7,0,6,0.595833,4459
569,22/07/2012,3,7,0,0,0.6675,7410
570,23/07/2012,3,7,0,1,0.741667,6966
571,24/07/2012,3,7,0,2,0.750833,7592
572,25/07/2012,3,7,0,3,0.724167,8173
573,26/07/2012,3,7,0,4,0.776667,6861
574,27/07/2012,3,7,0,5,0.781667,6904
575,28/07/2012,3,7,0,6,0.755833,6685
576,29/07/2012,3,7,0,0,0.721667,6597
577,30/07/2012,3,7,0,1,0.730833,7105
578,31/07/2012,3,7,0,2,0.713333,7216
579,01/08/2012,3,8,0,3,0.7175,7580
580,02/08/2012,3,8,0,4,0.7525,7261
581,03/08/2012,3,8,0,5,0.765833,7175
582,04/08/2012,3,8,0,6,0.793333,6824
583,05/08/2012,3,8,0,0,0.769167,5464
584,06/08/2012,3,8,0,1,0.7525,7013
585,07/08/2012,3,8,0,2,0.735833,7273
586,08/08/2012,3,8,0,3,0.75,7534
587,09/08/2012,3,8,0,4,0.755833,7286
588,10/08/2012,3,8,0,5,0.715833,5786
589,11/08/2012,3,8,0,6,0.6925,6299
590,12/08/2012,3,8,0,0,0.700833,6544
591,13/08/2012,3,8,0,1,0.720833,6883
592,14/08/2012,3,8,0,2,0.726667,6784
593,15/08/2012,3,8,0,3,0.706667,7347
594,16/08/2012,3,8,0,4,0.719167,7605
595,17/08/2012,3,8,0,5,0.723333,7148
596,18/08/2012,3,8,0,6,0.678333,7865
597,19/08/2012,3,8,0,0,0.635833,4549
598,20/08/2012,3,8,0,1,0.635833,6530
599,21/08/2012,3,8,0,2,0.649167,7006
600,22/08/2012,3,8,0,3,0.6675,7375
601,23/08/2012,3,8,0,4,0.695833,7765
602,24/08/2012,3,8,0,5,0.7025,7582
603,25/08/2012,3,8,0,6,0.661667,6053
604,26/08/2012,3,8,0,0,0.653333,5255
605,27/08/2012,3,8,0,1,0.703333,6917
606,28/08/2012,3,8,0,2,0.728333,7040
607,29/08/2012,3,8,0,3,0.685,7697
608,30/08/2012,3,8,0,4,0.706667,7713
609,31/08/2012,3,8,0,5,0.764167,7350
610,01/09/2012,3,9,0,6,0.753333,6140
611,02/09/2012,3,9,0,0,0.696667,5810
612,03/09/2012,3,9,1,1,0.7075,6034
613,04/09/2012,3,9,0,2,0.725833,6864
614,05/09/2012,3,9,0,3,0.736667,7112
615,06/09/2012,3,9,0,4,0.696667,6203
616,07/09/2012,3,9,0,5,0.703333,7504
617,08/09/2012,3,9,0,6,0.659167,5976
618,09/09/2012,3,9,0,0,0.61,8227
619,10/09/2012,3,9,0,1,0.583333,7525
620,11/09/2012,3,9,0,2,0.5775,7767
621,12/09/2012,3,9,0,3,0.599167,7870
622,13/09/2012,3,9,0,4,0.6125,7804
623,14/09/2012,3,9,0,5,0.633333,8009
624,15/09/2012,3,9,0,6,0.608333,8714
625,16/09/2012,3,9,0,0,0.58,7333
626,17/09/2012,3,9,0,1,0.580833,6869
627,18/09/2012,3,9,0,2,0.623333,4073
628,19/09/2012,3,9,0,3,0.5525,7591
629,20/09/2012,3,9,0,4,0.546667,7720
630,21/09/2012,3,9,0,5,0.599167,8167
631,22/09/2012,3,9,0,6,0.65,8395
632,23/09/2012,4,9,0,0,0.529167,7907
633,24/09/2012,4,9,0,1,0.514167,7436
634,25/09/2012,4,9,0,2,0.55,7538
635,26/09/2012,4,9,0,3,0.635,7733
636,27/09/2012,4,9,0,4,0.65,7393
637,28/09/2012,4,9,0,5,0.619167,7415
638,29/09/2012,4,9,0,6,0.5425,8555
639,30/09/2012,4,9,0,0,0.526667,6889
640,01/10/2012,4,10,0,1,0.520833,6778
641,02/10/2012,4,10,0,2,0.590833,4639
642,03/10/2012,4,10,0,3,0.6575,7572
643,04/10/2012,4,10,0,4,0.6575,7328
644,05/10/2012,4,10,0,5,0.615,8156
645,06/10/2012,4,10,0,6,0.554167,7965
646,07/10/2012,4,10,0,0,0.415833,3510
647,08/10/2012,4,10,1,1,0.383333,5478
648,09/10/2012,4,10,0,2,0.446667,6392
649,10/10/2012,4,10,0,3,0.514167,7691
650,11/10/2012,4,10,0,4,0.435,7570
651,12/10/2012,4,10,0,5,0.4375,7282
652,13/10/2012,4,10,0,6,0.393333,7109
653,14/10/2012,4,10,0,0,0.521667,6639
654,15/10/2012,4,10,0,1,0.561667,5875
655,16/10/2012,4,10,0,2,0.468333,7534
656,17/10/2012,4,10,0,3,0.455833,7461
657,18/10/2012,4,10,0,4,0.5225,7509
658,19/10/2012,4,10,0,5,0.563333,5424
659,20/10/2012,4,10,0,6,0.484167,8090
660,21/10/2012,4,10,0,0,0.464167,6824
661,22/10/2012,4,10,0,1,0.4875,7058
662,23/10/2012,4,10,0,2,0.544167,7466
663,24/10/2012,4,10,0,3,0.5875,7693
664,25/10/2012,4,10,0,4,0.55,7359
665,26/10/2012,4,10,0,5,0.545833,7444
666,27/10/2012,4,10,0,6,0.53,7852
667,28/10/2012,4,10,0,0,0.4775,4459
668,29/10/2012,4,10,0,1,0.44,22
669,30/10/2012,4,10,0,2,0.318182,1096
670,31/10/2012,4,10,0,3,0.3575,5566
671,01/11/2012,4,11,0,4,0.365833,5986
672,02/11/2012,4,11,0,5,0.355,5847
673,03/11/2012,4,11,0,6,0.343333,5138
674,04/11/2012,4,11,0,0,0.325833,5107
675,05/11/2012,4,11,0,1,0.319167,5259
676,06/11/2012,4,11,0,2,0.280833,5686
677,07/11/2012,4,11,0,3,0.295833,5035
678,08/11/2012,4,11,0,4,0.352174,5315
679,09/11/2012,4,11,0,5,0.361667,5992
680,10/11/2012,4,11,0,6,0.389167,6536
681,11/11/2012,4,11,0,0,0.420833,6852
682,12/11/2012,4,11,1,1,0.485,6269
683,13/11/2012,4,11,0,2,0.343333,4094
684,14/11/2012,4,11,0,3,0.289167,5495
685,15/11/2012,4,11,0,4,0.321667,5445
686,16/11/2012,4,11,0,5,0.345,5698
687,17/11/2012,4,11,0,6,0.325,5629
688,18/11/2012,4,11,0,0,0.3425,4669
689,19/11/2012,4,11,0,1,0.380833,5499
690,20/11/2012,4,11,0,2,0.374167,5634
691,21/11/2012,4,11,0,3,0.353333,5146
692,22/11/2012,4,11,1,4,0.34,2425
693,23/11/2012,4,11,0,5,0.368333,3910
694,24/11/2012,4,11,0,6,0.278333,2277
695,25/11/2012,4,11,0,0,0.245833,2424
696,26/11/2012,4,11,0,1,0.313333,5087
697,27/11/2012,4,11,0,2,0.291667,3959
698,28/11/2012,4,11,0,3,0.296667,5260
699,29/11/2012,4,11,0,4,0.28087,5323
700,30/11/2012,4,11,0,5,0.298333,5668
701,01/12/2012,4,12,0,6,0.298333,5191
702,02/12/2012,4,12,0,0,0.3475,4649
703,03/12/2012,4,12,0,1,0.4525,6234
704,04/12/2012,4,12,0,2,0.475833,6606
705,05/12/2012,4,12,0,3,0.438333,5729
706,06/12/2012,4,12,0,4,0.255833,5375
707,07/12/2012,4,12,0,5,0.320833,5008
708,08/12/2012,4,12,0,6,0.381667,5582
709,09/12/2012,4,12,0,0,0.384167,3228
710,10/12/2012,4,12,0,1,0.435833,5170
711,11/12/2012,4,12,0,2,0.353333,5501
712,12/12/2012,4,12,0,3,0.2975,5319
713,13/12/2012,4,12,0,4,0.295833,5532
714,14/12/2012,4,12,0,5,0.281667,5611
715,15/12/2012,4,12,0,6,0.324167,5047
716,16/12/2012,4,12,0,0,0.3625,3786
717,17/12/2012,4,12,0,1,0.393333,4585
718,18/12/2012,4,12,0,2,0.410833,5557
719,19/12/2012,4,12,0,3,0.3325,5267
720,20/12/2012,4,12,0,4,0.33,4128
721,21/12/2012,1,12,0,5,0.326667,3623
722,22/12/2012,1,12,0,6,0.265833,1749
723,23/12/2012,1,12,0,0,0.245833,1787
724,24/12/2012,1,12,0,1,0.231304,920
725,25/12/2012,1,12,1,2,0.291304,1013
726,26/12/2012,1,12,0,3,0.243333,441
727,27/12/2012,1,12,0,4,0.254167,2114
728,28/12/2012,1,12,0,5,0.253333,3095
729,29/12/2012,1,12,0,6,0.253333,1341
730,30/12/2012,1,12,0,0,0.255833,1796
731,31/12/2012,1,12,0,1,0.215833,2729
